Exercise Name,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Found In Categories,URL
Exercise Ball Dumbbell Kickbacks Video Exercise Guide,Triceps,Strength,Exercise Ball,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/exercise-ball-dumbbell-kickbacks.html
45 Degree Lying Tricep Extension (EZ Bar) Video Exercise Guide,Triceps,Strength,EZ Bar,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/ez-bar-back-of-the-head-lying-tricep-extension.html
Inline Bench French Press Video Exercise Guide,Triceps,Strength,Barbell,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/inline-bench-french-press.html
Exercise Ball Dip Video Exercise Guide,Triceps,Strength,Exercise Ball,Compound,Push,Intermediate,"Abs, Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/exercise-ball-dip.html
One-Arm Lying Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,None,Triceps,https://www.muscleandstrength.com/exercises/one-arm-lying-dumbbell-extension.html
Reverse Grip Cable Tricep Kickback Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/reverse-grip-cable-tricep-kickback.html
Exercise Ball French Press Video Exercise Guide,Triceps,Strength,Exercise Ball,Isolation,Push,Intermediate,Abs,Triceps,https://www.muscleandstrength.com/exercises/swiss-ball-french-press.html
Decline Lying Tricep Extension (Skullcrusher) Video Exercise Guide,Triceps,Strength,EZ Bar,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/decline-lying-tricep-extension-skullcrusher.html
Decline Lying Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push (Bilateral),Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/decline-lying-dumbbell-extension.html
Two-Arm Cable Tricep Kickback Video Exercise Guide,Triceps,Strength,Cable,Isolation,Push,Beginner,None,Triceps,https://www.muscleandstrength.com/exercises/two-arm-cable-tricep-kickback.html
Exercise Ball Two-Arm Dumbbell Extension Video Exercise Guide,Triceps,Strength,Dumbbell,Isolation,Push,Intermediate,Abs,Triceps,https://www.muscleandstrength.com/exercises/exercise-ball-two-arm-dumbbell-extension.html
Smith Machine Close Grip Bench Press Video Exercise Guide,Triceps,Strength,Machine,Compound,Push,Beginner,"Chest, Shoulders",Triceps,https://www.muscleandstrength.com/exercises/smith-machine-close-grip-bench-press.html
